BRAND,CATEGORY,STORAGE_TEMP,ARTICLE_CODE,FORECAST_QTY,ACTUAL_QTY,UNIT_PRICE_AED,EXPIRY_DATE,DAYS_TO_EXPIRY
Double A,A4 Paper Box,Ambient,AS-720,1598,304,33,11/8/2035,3585
Bic/Stabilo,Pens,Ambient,AS-156,1982,953,74.27,9/8/2035,3524
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-808,920,553,20.2,10/29/2025,-77
Americana Cakes,Pound Cake,Ambient,AS-151,1472,241,15.4,4/5/2026,81
Americana Cakes,Pound Cake,Ambient,AS-773,1406,932,37.56,7/26/2025,-172
California Garden,Fava Beans,Ambient,AS-636,442,2188,84.19,4/1/2027,442
Double A,A4 Paper Box,Ambient,AS-165,1400,500,15.77,1/21/2035,3294
Americana Cakes,Pound Cake,Ambient,AS-744,586,1297,19.63,12/18/2025,-27
California Garden,Fava Beans,Ambient,AS-700,787,1842,20.82,12/22/2027,707
Americana Cakes,Pound Cake,Ambient,AS-838,1431,247,39.42,1/10/2026,-4
Bic/Stabilo,Highlighters,Ambient,AS-479,1719,2171,55.6,5/12/2035,3405
Double A,A4 Paper Box,Ambient,AS-260,1958,484,84.85,3/13/2035,3345
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-981,942,392,33.12,1/16/2026,2
Bic/Stabilo,Pens,Ambient,AS-233,1186,1032,66.43,7/2/2035,3456
Bic/Stabilo,Pens,Ambient,AS-768,172,2001,13.46,2/2/2035,3306
California Garden,Fava Beans,Ambient,AS-976,860,450,14.66,9/7/2027,601
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-685,388,887,12.14,3/25/2026,70
Double A,A4 Paper Box,Ambient,AS-401,1978,665,15.2,8/17/2035,3502
Americana Cakes,Swiss Roll,Ambient,AS-828,704,2030,27.76,7/17/2025,-181
Americana Cakes,Pound Cake,Ambient,AS-571,1968,1224,7.83,10/31/2025,-75
California Garden,Fava Beans,Ambient,AS-275,1549,548,40.41,5/14/2027,485
Bic/Stabilo,Highlighters,Ambient,AS-422,798,1934,77.32,9/9/2035,3525
California Garden,Fava Beans,Ambient,AS-630,1319,1869,82.43,9/7/2027,601
Double A,A4 Paper Box,Ambient,AS-654,730,324,27.84,12/30/2035,3637
Double A,A4 Paper Box,Ambient,AS-337,1056,1973,36.48,1/6/2036,3644
Americana Cakes,Swiss Roll,Ambient,AS-288,1648,237,76.4,10/9/2025,-97
Americana Cakes,Swiss Roll,Ambient,AS-839,579,1571,11.69,7/1/2026,168
Americana Cakes,Pound Cake,Ambient,AS-398,1410,1695,7.73,2/4/2026,21
California Garden,Fava Beans,Ambient,AS-985,1592,1597,18.1,9/14/2027,608
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-233,437,82,47.46,11/21/2025,-54
California Garden,Tuna skips,Ambient,AS-258,1645,1728,64.34,3/20/2027,430
Americana Cakes,Swiss Roll,Ambient,AS-117,1805,604,81.05,12/8/2025,-37
Bic/Stabilo,Pens,Ambient,AS-574,113,1278,69.57,11/4/2035,3581
Bic/Stabilo,Highlighters,Ambient,AS-918,492,509,69.06,1/20/2035,3293
Americana Cakes,Pound Cake,Ambient,AS-611,615,640,52.49,8/29/2025,-138
California Garden,Tuna skips,Ambient,AS-854,1195,1699,58.59,9/27/2027,621
Bic/Stabilo,Highlighters,Ambient,AS-123,1413,979,49.17,1/23/2035,3296
California Garden,Fava Beans,Ambient,AS-287,1893,1256,57.57,4/25/2027,466
Double A,A4 Paper Box,Ambient,AS-384,1642,1220,60.93,4/8/2035,3371
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-915,390,818,69.77,9/11/2026,240
California Garden,Fava Beans,Ambient,AS-439,1865,1759,13.95,6/3/2027,505
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-815,448,770,10.64,10/28/2025,-78
California Garden,Tuna skips,Ambient,AS-801,529,795,55.68,10/2/2027,626
Bic/Stabilo,Highlighters,Ambient,AS-230,1209,1382,23.44,9/22/2035,3538
Americana Cakes,Pound Cake,Ambient,AS-718,1918,1778,7.55,8/15/2025,-152
Americana Cakes,Swiss Roll,Ambient,AS-311,1581,2079,16.28,7/13/2026,180
California Garden,Tuna skips,Ambient,AS-859,868,657,61.44,8/5/2027,568
Bic/Stabilo,Highlighters,Ambient,AS-441,979,860,14.64,4/14/2035,3377
Double A,A4 Paper Box,Ambient,AS-369,188,835,10.83,3/23/2035,3355
Double A,A4 Paper Box,Ambient,AS-181,1194,897,13.05,7/31/2035,3485
California Garden,Fava Beans,Ambient,AS-760,1551,763,70.39,3/19/2027,429
Americana Cakes,Pound Cake,Ambient,AS-390,1054,1184,84.42,4/23/2026,99
Double A,A4 Paper Box,Ambient,AS-257,1058,666,13.22,11/4/2035,3581
California Garden,Fava Beans,Ambient,AS-161,1474,1939,38.87,7/6/2027,538
Bic/Stabilo,Pens,Ambient,AS-464,839,1680,5,6/20/2035,3444
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-999,1100,1473,75.14,7/8/2026,175
Bic/Stabilo,Highlighters,Ambient,AS-370,358,433,33.56,1/17/2035,3290
Bic/Stabilo,Pens,Ambient,AS-520,745,1351,14.58,7/4/2035,3458
Americana Cakes,Swiss Roll,Ambient,AS-312,1885,766,49.71,3/22/2026,67
Double A,A4 Paper Box,Ambient,AS-810,1567,1598,78.64,3/30/2035,3362
California Garden,Fava Beans,Ambient,AS-207,679,1730,32.81,10/1/2027,625
Americana Cakes,Pound Cake,Ambient,AS-612,348,1560,59.68,3/10/2026,55
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-423,1054,1059,61.07,5/1/2026,107
Double A,A4 Paper Box,Ambient,AS-136,543,339,22.84,6/22/2035,3446
Americana Cakes,Swiss Roll,Ambient,AS-825,814,1498,61.6,7/22/2025,-176
Americana Cakes,Pound Cake,Ambient,AS-166,278,2172,54.83,11/29/2025,-46
Double A,A4 Paper Box,Ambient,AS-271,550,1235,51.64,2/10/2035,3314
Bic/Stabilo,Highlighters,Ambient,AS-104,303,1454,62.81,11/4/2035,3581
Americana Cakes,Pound Cake,Ambient,AS-914,1165,821,7.56,6/2/2026,139
Americana Frozen,Burgers,Frozen (-18°C),AS-603,1617,1675,83.65,10/4/2026,263
California Garden,Tuna skips,Ambient,AS-656,687,848,37.84,3/12/2027,422
Americana Cakes,Swiss Roll,Ambient,AS-200,1134,643,17.89,5/8/2026,114
Double A,A4 Paper Box,Ambient,AS-236,728,297,24.4,7/28/2035,3482
California Garden,Tuna skips,Ambient,AS-333,1209,458,50.13,3/2/2027,412
Americana Frozen,Burgers,Frozen (-18°C),AS-803,976,1947,29.74,12/2/2025,-43
Americana Cakes,Swiss Roll,Ambient,AS-352,1289,87,81.24,2/2/2026,19
Double A,A4 Paper Box,Ambient,AS-302,1261,1506,5.9,5/15/2035,3408
Americana Cakes,Swiss Roll,Ambient,AS-841,1198,1423,77.7,8/21/2025,-146
Double A,A4 Paper Box,Ambient,AS-779,1503,2136,59.14,12/14/2035,3621
Bic/Stabilo,Highlighters,Ambient,AS-946,1225,1291,75.02,7/28/2035,3482
California Garden,Tuna skips,Ambient,AS-729,1669,649,35.95,9/4/2027,598
Bic/Stabilo,Highlighters,Ambient,AS-794,1394,547,38.83,6/2/2035,3426
Double A,A4 Paper Box,Ambient,AS-178,540,132,81.41,8/16/2035,3501
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-235,205,186,62.86,6/13/2026,150
Double A,A4 Paper Box,Ambient,AS-668,1685,2122,48.3,4/4/2035,3367
Bic/Stabilo,Highlighters,Ambient,AS-690,1125,1018,20.04,10/11/2035,3557
Double A,A4 Paper Box,Ambient,AS-286,1872,932,19.04,4/6/2035,3369
Double A,A4 Paper Box,Ambient,AS-379,640,2014,81.13,4/27/2035,3390
Americana Cakes,Swiss Roll,Ambient,AS-561,1354,738,35.39,2/2/2026,19
Double A,A4 Paper Box,Ambient,AS-769,909,1343,15.35,4/18/2035,3381
Bic/Stabilo,Pens,Ambient,AS-581,1133,1982,64.64,11/18/2035,3595
California Garden,Tuna skips,Ambient,AS-106,741,176,38.12,10/10/2027,634
Americana Cakes,Swiss Roll,Ambient,AS-416,1204,1677,66.32,6/1/2026,138
Americana Frozen,Burgers,Frozen (-18°C),AS-367,404,1372,35.23,2/6/2026,23
Bic/Stabilo,Highlighters,Ambient,AS-947,1921,1993,19.11,6/28/2035,3452
Double A,A4 Paper Box,Ambient,AS-377,810,1244,61.49,6/10/2035,3434
Americana Cakes,Pound Cake,Ambient,AS-266,1877,1632,77.66,11/16/2025,-59
Double A,A4 Paper Box,Ambient,AS-748,913,1112,36.65,3/4/2035,3336
Double A,A4 Paper Box,Ambient,AS-491,460,318,72.58,4/29/2035,3392
Americana Cakes,Pound Cake,Ambient,AS-592,601,1113,57.29,11/16/2025,-59
Double A,A4 Paper Box,Ambient,AS-604,765,570,62.56,12/13/2035,3620
Americana Cakes,Swiss Roll,Ambient,AS-496,1045,244,62.41,10/23/2025,-83
Bic/Stabilo,Pens,Ambient,AS-669,186,429,8.03,11/13/2035,3590
Bic/Stabilo,Pens,Ambient,AS-842,1273,1272,61.87,7/15/2035,3469
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-996,1240,2048,40.46,6/23/2026,160
Americana Cakes,Swiss Roll,Ambient,AS-413,452,2046,19.49,1/9/2026,-5
Double A,A4 Paper Box,Ambient,AS-222,1233,1297,6.37,7/28/2035,3482
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-961,1210,492,25.23,8/20/2026,218
Bic/Stabilo,Pens,Ambient,AS-298,521,2059,25.62,11/18/2035,3595
California Garden,Tuna skips,Ambient,AS-268,293,1041,79.17,12/2/2027,687
Americana Cakes,Pound Cake,Ambient,AS-568,334,1335,40.88,11/22/2025,-53
Bic/Stabilo,Pens,Ambient,AS-294,921,628,42.09,11/22/2035,3599
Bic/Stabilo,Highlighters,Ambient,AS-520,591,450,17.63,12/3/2035,3610
California Garden,Tuna skips,Ambient,AS-209,262,1778,72.26,11/24/2027,679
Double A,A4 Paper Box,Ambient,AS-705,1564,1896,73.44,10/18/2035,3564
Double A,A4 Paper Box,Ambient,AS-143,1831,1817,52.32,3/30/2035,3362
Americana Frozen,Burgers,Frozen (-18°C),AS-867,1552,1158,58.49,6/21/2026,158
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-991,662,564,25.73,4/16/2026,92
Americana Cakes,Swiss Roll,Ambient,AS-199,665,1540,79.04,10/11/2025,-95
Americana Frozen,Burgers,Frozen (-18°C),AS-176,1528,1842,34.15,2/11/2026,28
California Garden,Fava Beans,Ambient,AS-267,250,1056,27.55,2/9/2027,391
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-424,801,1054,59.97,10/21/2025,-85
Double A,A4 Paper Box,Ambient,AS-439,627,590,5.35,10/14/2035,3560
Bic/Stabilo,Highlighters,Ambient,AS-311,236,1198,10.09,9/15/2035,3531
Double A,A4 Paper Box,Ambient,AS-971,478,964,42.45,8/25/2035,3510
California Garden,Fava Beans,Ambient,AS-460,969,2039,10.66,9/25/2027,619
California Garden,Tuna skips,Ambient,AS-213,704,1463,56.21,1/4/2028,720
California Garden,Fava Beans,Ambient,AS-658,1218,2168,7.99,5/16/2027,487
Americana Cakes,Pound Cake,Ambient,AS-726,1275,1989,62.94,10/8/2025,-98
California Garden,Fava Beans,Ambient,AS-569,1967,2027,37.53,9/27/2027,621
Bic/Stabilo,Highlighters,Ambient,AS-184,122,514,33.97,6/8/2035,3432
California Garden,Tuna skips,Ambient,AS-579,1157,1130,50.86,5/5/2027,476
California Garden,Tuna skips,Ambient,AS-506,942,1696,15.94,11/21/2027,676
California Garden,Tuna skips,Ambient,AS-772,985,1810,83.51,12/5/2027,690
Americana Cakes,Swiss Roll,Ambient,AS-949,1011,598,80.91,1/2/2026,-12
Americana Frozen,Burgers,Frozen (-18°C),AS-485,233,1340,68.02,9/24/2026,253
Americana Frozen,Burgers,Frozen (-18°C),AS-664,1895,1373,77.28,2/18/2026,35
Double A,A4 Paper Box,Ambient,AS-568,1116,1799,78.28,10/27/2035,3573
Bic/Stabilo,Pens,Ambient,AS-816,449,252,22.5,6/8/2035,3432
Double A,A4 Paper Box,Ambient,AS-917,1295,355,22.93,12/20/2035,3627
California Garden,Fava Beans,Ambient,AS-902,1662,372,32.86,1/19/2027,370
Double A,A4 Paper Box,Ambient,AS-923,1719,1868,77.95,1/16/2035,3289
Double A,A4 Paper Box,Ambient,AS-104,155,1669,12.53,10/22/2035,3568
Bic/Stabilo,Pens,Ambient,AS-238,1906,342,58.37,7/21/2035,3475
Americana Cakes,Pound Cake,Ambient,AS-364,1538,982,58.42,5/3/2026,109
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-972,1572,177,62.24,3/21/2026,66
Bic/Stabilo,Pens,Ambient,AS-540,1049,1537,70.68,8/30/2035,3515
Americana Cakes,Pound Cake,Ambient,AS-459,1242,2083,19.6,5/9/2026,115
Bic/Stabilo,Highlighters,Ambient,AS-132,1543,273,83.3,12/29/2035,3636
Americana Cakes,Pound Cake,Ambient,AS-663,1045,1182,59.57,4/12/2026,88
Bic/Stabilo,Pens,Ambient,AS-813,309,1258,54.5,7/15/2035,3469
Americana Cakes,Swiss Roll,Ambient,AS-110,124,744,42.63,12/20/2025,-25
Double A,A4 Paper Box,Ambient,AS-569,1316,1655,28.03,6/27/2035,3451
Bic/Stabilo,Pens,Ambient,AS-500,1257,1280,57.48,8/24/2035,3509
Americana Frozen,Burgers,Frozen (-18°C),AS-571,755,1570,21.88,5/19/2026,125
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-988,1586,602,51.57,5/20/2026,126
Bic/Stabilo,Pens,Ambient,AS-550,805,527,75.68,6/17/2035,3441
California Garden,Tuna skips,Ambient,AS-448,1649,1256,83.9,3/19/2027,429
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-818,1696,761,80.09,1/10/2026,-4
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-570,132,365,25.86,4/5/2026,81
Double A,A4 Paper Box,Ambient,AS-612,1683,560,8.64,8/21/2035,3506
California Garden,Fava Beans,Ambient,AS-981,1567,878,56.33,7/28/2027,560
Americana Cakes,Swiss Roll,Ambient,AS-382,1506,1521,82.87,5/20/2026,126
Double A,A4 Paper Box,Ambient,AS-389,776,685,44.5,5/19/2035,3412
Americana Cakes,Swiss Roll,Ambient,AS-619,1722,526,7.14,4/27/2026,103
California Garden,Fava Beans,Ambient,AS-426,373,1967,58.55,4/8/2027,449
California Garden,Fava Beans,Ambient,AS-972,246,347,65.78,8/26/2027,589
California Garden,Fava Beans,Ambient,AS-561,182,425,55.94,11/18/2027,673
Americana Cakes,Pound Cake,Ambient,AS-697,1633,2155,12.76,8/16/2025,-151
California Garden,Tuna skips,Ambient,AS-137,211,1980,38.25,8/4/2027,567
Double A,A4 Paper Box,Ambient,AS-483,755,628,47.6,10/18/2035,3564
Americana Cakes,Pound Cake,Ambient,AS-753,968,198,82.14,7/2/2026,169
Bic/Stabilo,Highlighters,Ambient,AS-735,616,2057,27.77,1/21/2035,3294
California Garden,Fava Beans,Ambient,AS-885,240,841,80.8,5/30/2027,501
Double A,A4 Paper Box,Ambient,AS-666,785,714,47.49,12/5/2035,3612
Bic/Stabilo,Highlighters,Ambient,AS-126,748,1406,71.8,6/15/2035,3439
Americana Frozen,Burgers,Frozen (-18°C),AS-446,1004,1493,36.31,1/14/2026,0
Americana Frozen,Burgers,Frozen (-18°C),AS-646,641,794,11.05,5/25/2026,131
California Garden,Tuna skips,Ambient,AS-690,1100,2182,36.46,12/27/2027,712
Double A,A4 Paper Box,Ambient,AS-717,790,788,77.5,1/26/2035,3299
Americana Frozen,Burgers,Frozen (-18°C),AS-375,1210,771,41.46,2/26/2026,43
Bic/Stabilo,Pens,Ambient,AS-491,673,1052,34.54,8/8/2035,3493
Americana Cakes,Pound Cake,Ambient,AS-547,1896,936,7.14,5/8/2026,114
Bic/Stabilo,Pens,Ambient,AS-156,790,1617,32.54,6/17/2035,3441
Bic/Stabilo,Pens,Ambient,AS-301,1309,248,81.18,5/1/2035,3394
Americana Cakes,Pound Cake,Ambient,AS-205,1332,140,22.19,8/27/2025,-140
Double A,A4 Paper Box,Ambient,AS-665,1332,936,6.29,7/16/2035,3470
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-731,146,1200,59.27,5/5/2026,111
California Garden,Fava Beans,Ambient,AS-910,1063,758,38.93,2/24/2027,406
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-913,1095,1135,47.28,7/21/2026,188
Bic/Stabilo,Pens,Ambient,AS-405,1846,995,29.55,6/11/2035,3435
Americana Cakes,Pound Cake,Ambient,AS-857,1325,903,10,7/9/2026,176
Bic/Stabilo,Pens,Ambient,AS-530,1900,319,28.03,1/1/2036,3639
Americana Cakes,Pound Cake,Ambient,AS-257,1758,1945,76.27,10/17/2025,-89
Bic/Stabilo,Highlighters,Ambient,AS-997,395,1580,39.25,11/14/2035,3591
Bic/Stabilo,Highlighters,Ambient,AS-146,486,309,77.67,5/7/2035,3400
California Garden,Tuna skips,Ambient,AS-411,1483,775,26.88,3/16/2027,426
Americana Cakes,Pound Cake,Ambient,AS-116,1889,1931,76.1,4/20/2026,96
Double A,A4 Paper Box,Ambient,AS-352,330,149,17.51,5/9/2035,3402
Double A,A4 Paper Box,Ambient,AS-741,1790,1506,61.89,6/8/2035,3432
Bic/Stabilo,Pens,Ambient,AS-298,1862,200,64.23,9/14/2035,3530
Double A,A4 Paper Box,Ambient,AS-808,179,353,71.35,11/23/2035,3600
Americana Cakes,Pound Cake,Ambient,AS-673,723,1802,69.12,1/22/2026,8
Bic/Stabilo,Highlighters,Ambient,AS-990,487,1552,34.53,10/10/2035,3556
Double A,A4 Paper Box,Ambient,AS-690,245,1680,18.85,12/14/2035,3621
California Garden,Fava Beans,Ambient,AS-966,1581,920,63.51,4/8/2027,449
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-738,165,1252,15.5,11/16/2025,-59
Bic/Stabilo,Highlighters,Ambient,AS-209,1643,580,36.6,12/17/2035,3624
Bic/Stabilo,Highlighters,Ambient,AS-441,1173,1776,33.47,4/17/2035,3380
Americana Frozen,Burgers,Frozen (-18°C),AS-671,1362,710,17.09,12/8/2025,-37
Americana Cakes,Pound Cake,Ambient,AS-863,1448,657,60.18,11/30/2025,-45
Double A,A4 Paper Box,Ambient,AS-761,1292,240,23.99,2/26/2035,3330
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-765,1585,2081,65.75,12/21/2025,-24
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-396,1823,394,57.86,2/26/2026,43
Double A,A4 Paper Box,Ambient,AS-682,1558,417,71.42,2/11/2035,3315
